[2026-01-09 11:06:43.556] [info] HikRobot's daemon thread started.
[2026-01-09 11:06:43.826] [info] HikRobot's capture thread started.
[2026-01-09 11:06:45.700] [info] HikRobot's daemon thread started.
[2026-01-09 11:06:45.942] [info] HikRobot's capture thread started.
[2026-01-09 11:06:49.190] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.205] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.215] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.230] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.240] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.255] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.265] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.280] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.290] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.305] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.315] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.330] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.340] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.355] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.365] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.381] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.392] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.408] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.418] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.434] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.445] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
